candidate,state,standardized_office_18,standardized_status_18,redistricting_role,amount_18_in_state,amount_18_out_of_state,amount_18_unknown,amount_18_total,pct_18_in_state,pct_18_out_of_state,pct_18_unknown,standardized_office_14,standardized_status_14,amount_14_in_state,amount_14_out_of_state,amount_14_unknown,amount_14_total,pct_14_in_state,pct_14_out_of_state,pct_14_unknown,standardized_office_10,standardized_status,amount_10_in_state,amount_10_out_of_state,amount_10_unknown,amount_10_total,pct_10_in_state,pct_10_out_of_state,pct_10_unknown
"ABBATE, PETER",NY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$183,575","$18,350","$31,925","$233,850",79%,8%,14%,,,,,,,,,,,,,,,,,,
"ABBOTT, DAVID H",IN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$26,065",$0,$0,"$26,065",100%,0%,0%,,,,,,,,,,,,,,,,,,
"ABBOTT, GREG",TX,GOVERNOR/LIEUTENANT GOVERNOR,ADVANCED TO GENERAL,Y,"$61,189,629","$4,590,345","$1,020","$65,780,994",93%,7%,0%,GOVERNOR/LIEUTENANT GOVERNOR,ADVANCED TO GENERAL,"$23,579,018","$1,526,044","$4,791,017","$29,896,079",79%,5%,16%,,,,,,,,,
"ABDUL-RAHIM, ANEES",MD,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$3,165",$0,$0,"$3,165",100%,0%,0%,,,,,,,,,,,,,,,,,,
"ABERCROMBIE, CATHERINE F",CT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$2,485",$0,$0,"$2,485",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$5,130",$7,$20,"$5,157",99%,0%,0%,,,,,,,,,
"ABINANTI, THOMAS J",NY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$20,460",$600,"$7,630","$28,690",71%,2%,27%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$12,700","$1,500",$0,"$14,200",89%,11%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$65,218",$300,$100,"$65,618",99%,0%,0%
"ABNEY, AERION ANDREW",PA,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$18,190","$3,792",$0,"$21,982",83%,17%,0%,,,,,,,,,,,,,,,,,,
"ABNEY, CAROL VENEA",TN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$1,550",$0,"$4,079","$5,629",28%,0%,72%,,,,,,,,,,,,,,,,,,
"ABRAMS, MARY DAUGHERTY",CT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$113,684","$5,900",$0,"$119,584",95%,5%,0%,,,,,,,,,,,,,,,,,,
"ABRAMS, STACEY YVONNE",GA,GOVERNOR/LIEUTENANT GOVERNOR,ADVANCED TO GENERAL,Y,"$1,840,646","$2,884,680",$650,"$4,725,976",39%,61%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$126,028","$59,097",$0,"$185,125",68%,32%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$16,675","$5,000",$0,"$21,675",77%,23%,0%
"ACEITUNO, PEDRO",CA,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$237,462",$200,$0,"$237,662",100%,0%,0%,,,,,,,,,,,,,,,,,,
"ACEVERO, GABRIEL",MD,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$21,492","$21,679",$0,"$43,171",50%,50%,0%,,,,,,,,,,,,,,,,,,
"ACKERT, TIM",CT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$9,222",$0,$0,"$9,222",100%,0%,0%,,,,,,,,,,,,,,,,,,
"ACKLEY, KENT F",ME,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$8,429",$0,$0,"$8,429",100%,0%,0%,,,,,,,,,,,,,,,,,,
"ACOSTA, ALLEN",WA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$2,062","$1,515",$360,"$3,937",52%,38%,9%,,,,,,,,,,,,,,,,,,
"ACOSTA, DANTE",CA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$618,334","$61,150","$5,400","$684,884",90%,9%,1%,,,,,,,,,,,,,,,,,,
"ACTON, CHERYL",UT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$2,192",$0,$0,"$2,192",100%,0%,0%,,,,,,,,,,,,,,,,,,
"ACUFF, JAMES",TN,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$14,500",$0,$0,"$14,500",100%,0%,0%,,,,,,,,,,,,,,,,,,
"ADAMCZYK, MATT",WI,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$35,365","$1,550",$0,"$36,915",96%,4%,0%,,,,,,,,,,,,,,,,,,
"ADAMS JR, JAMES CECIL",NC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$19,650",$0,$0,"$19,650",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$25,080",$100,$0,"$25,180",100%,0%,0%,,,,,,,,,
"ADAMS, BEVERLY",OK,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$21,500",$950,$0,"$22,450",96%,4%,0%,,,,,,,,,,,,,,,,,,
"ADAMS, CHRISTOPHER TROY (CHRIS)",MD,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$41,020","$3,375","$17,784","$62,179",66%,5%,29%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$30,781",$205,$0,"$30,986",99%,1%,0%,,,,,,,,,
"ADAMS, CLAYTON",OH,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$5,625",$173,$0,"$5,798",97%,3%,0%,,,,,,,,,,,,,,,,,,
"ADAMS, DAVE",MI,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$12,933",$0,$0,"$12,933",100%,0%,0%,,,,,,,,,,,,,,,,,,
"ADAMS, HERBERT C",ME,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$2,725",$0,$0,"$2,725",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$5,410",$0,$0,"$5,410",100%,0%,0%,,,,,,,,,
"ADAMS, JULIE RAQUE",KY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$138,919","$36,100",$0,"$175,019",79%,21%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$85,175","$19,425",$0,"$104,600",81%,19%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$70,471","$9,000",$0,"$79,471",89%,11%,0%
"ADAMS, SHARON (LAYNE)",TN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$4,780",$0,$0,"$4,780",100%,0%,0%,,,,,,,,,,,,,,,,,,
"ADAMS, TERRY B",CT,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$39,370",$255,$100,"$39,725",99%,1%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$4,090",$5,$0,"$4,095",100%,0%,0%,,,,,,,,,
"ADAMS, TIMOTHY J (TIM)",MD,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$474,891","$22,782",$0,"$497,673",95%,5%,0%,,,,,,,,,,,,,,,,,,
"ADCOCK, GALE BROWN",NC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$63,240","$9,385",$0,"$72,625",87%,13%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$102,608","$4,125",$0,"$106,733",96%,4%,0%,,,,,,,,,
"ADCOCK, JOHN B",NC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$86,516","$2,050",$0,"$88,566",98%,2%,0%,,,,,,,,,,,,,,,,,,
"ADDABBO, JOSEPH",NY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$158,064","$13,100","$3,750","$174,914",90%,7%,2%,,,,,,,,,,,,,,,,,,
"ADDIS, JAMES SAMUEL",ID,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$31,016",$200,$0,"$31,216",99%,1%,0%,,,,,,,,,,,,,,,,,,
"ADELMANN, GAY",KY,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$16,744","$1,531",$25,"$18,300",91%,8%,0%,,,,,,,,,,,,,,,,,,
"ADKINS, DAVID EDWARD",NM,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$42,274","$18,800","$1,201","$62,275",68%,30%,2%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$15,900","$2,300",$100,"$18,300",87%,13%,1%,,,,,,,,,
"ADKINS, ROCKY J",KY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$136,266","$10,100",$0,"$146,366",93%,7%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$357,023","$8,150",$0,"$365,173",98%,2%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$218,369","$9,450",$0,"$227,819",96%,4%,0%
"ADKINS, TYLER JAY",ME,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$6,465",$435,$0,"$6,900",94%,6%,0%,,,,,,,,,,,,,,,,,,
"ADLER, JASON",CT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$13,452","$1,755",$0,"$15,207",88%,12%,0%,,,,,,,,,,,,,,,,,,
"ADRIEN, GERLY",MA,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$10,077","$1,109",$0,"$11,186",90%,10%,0%,,,,,,,,,,,,,,,,,,
"ADSIT, WILLIAM",WY,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$7,125",$0,$0,"$7,125",100%,0%,0%,,,,,,,,,,,,,,,,,,
"AERY, SONIA",CA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$16,793",$0,$0,"$16,793",100%,0%,0%,,,,,,,,,,,,,,,,,,
"AFENDOULIS, CHRIS",MI,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$272,235","$4,550",$0,"$276,785",98%,2%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$95,407","$11,650",$0,"$107,057",89%,11%,0%,,,,,,,,,
"AFENDOULIS, LYNN",MI,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$88,082","$8,950",$0,"$97,032",91%,9%,0%,,,,,,,,,,,,,,,,,,
"AGENBROAD, JEFF C",ID,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$2,250","$2,650",$0,"$4,900",46%,54%,0%,,,,,,,,,,,,,,,,,,
"AGER JR, JOHN CURTIS",NC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$55,035","$23,750",$0,"$78,785",70%,30%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$66,844","$8,975",$0,"$75,819",88%,12%,0%,,,,,,,,,
"AGNEW, GAYATRI JANE",AR,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$4,822","$15,210",$0,"$20,032",24%,76%,0%,,,,,,,,,,,,,,,,,,
"AGUIAR-CURRY, CECILIA",CA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$473,159","$160,850",$0,"$634,009",75%,25%,0%,,,,,,,,,,,,,,,,,,
"AGUILAR, BENGIE",WA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$5,500",$850,$0,"$6,350",87%,13%,0%,,,,,,,,,,,,,,,,,,
"AHLQUIST, JOHN THOMAS (TOMMY)",ID,GOVERNOR/LIEUTENANT GOVERNOR,DID NOT ADVANCE,N,"$3,633,668","$280,570",$0,"$3,914,238",93%,7%,0%,,,,,,,,,,,,,,,,,,
"AHMAD, NINA",PA,GOVERNOR/LIEUTENANT GOVERNOR,DID NOT ADVANCE,Y,"$837,262","$95,855","$9,050","$942,167",89%,10%,1%,,,,,,,,,,,,,,,,,,
"AHMED, ANIS",MD,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$7,068","$5,320",$0,"$12,388",57%,43%,0%,,,,,,,,,,,,,,,,,,
"AHMED, RIZWAN",FL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$17,260",$0,$0,"$17,260",100%,0%,0%,,,,,,,,,,,,,,,,,,
"AHMED, SHABNAM",MD,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$6,851","$5,755",$0,"$12,606",54%,46%,0%,,,,,,,,,,,,,,,,,,
"AHRENS, DANIELLE",ID,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$2,650",$0,$0,"$2,650",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$5,325",$0,$0,"$5,325",100%,0%,0%,,,,,,,,,
"AIKEN, SIMONE",CO,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$1,064",$0,$0,"$1,064",100%,0%,0%,,,,,,,,,,,,,,,,,,
"AIKENS, TONY R",TN,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$69,154",$200,$0,"$69,354",100%,0%,0%,,,,,,,,,,,,,,,,,,
"AINSWORTH, WILLIAM P (WILL)",AL,GOVERNOR/LIEUTENANT GOVERNOR,ADVANCED TO GENERAL,Y,"$2,287,159","$133,877",$0,"$2,421,036",94%,6%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$99,106","$1,500",$0,"$100,606",99%,1%,0%,,,,,,,,,
"AIUTO, TERI",MI,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$7,351",$0,$0,"$7,351",100%,0%,0%,,,,,,,,,,,,,,,,,,
"AIYASH, ABRAHAM",MI,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$103,254","$58,373",$0,"$161,627",64%,36%,0%,,,,,,,,,,,,,,,,,,
"AJAVON, AJAWAVI J",DE,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$3,000",$700,$0,"$3,700",81%,19%,0%,,,,,,,,,,,,,,,,,,
"AJIBOYE, GBENGA",CO,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$1,585","$1,115",$0,"$2,700",59%,41%,0%,,,,,,,,,,,,,,,,,,
"AKBARI, RAUMESH",TN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$70,670","$9,350",$0,"$80,020",88%,12%,0%,,,,,,,,,,,,,,,,,,
"AKERS, MONTE",OR,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$11,079",$0,$100,"$11,179",99%,0%,1%,,,,,,,,,,,,,,,,,,
"AKI, ZURI C",HI,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$2,894",$0,$0,"$2,894",100%,0%,0%,,,,,,,,,,,,,,,,,,
"AKSHAR, FRED",NY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$362,772","$24,900",$0,"$387,672",94%,6%,0%,,,,,,,,,,,,,,,,,,
"ALBA, ADAM",UT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$1,960",$250,$0,"$2,210",89%,11%,0%,,,,,,,,,,,,,,,,,,
"ALBERS, JOHN",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$52,550","$17,800",$0,"$70,350",75%,25%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$44,751","$5,750",$0,"$50,501",89%,11%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$135,575","$2,950",$0,"$138,525",98%,2%,0%
"ALBERT, GERALD O",IL,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$7,399",$0,$0,"$7,399",100%,0%,0%,,,,,,,,,,,,,,,,,,
"ALBERT, THOMAS A",MI,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$42,505","$1,850",$0,"$44,355",96%,4%,0%,,,,,,,,,,,,,,,,,,
"ALBIS, JAMES M",CT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$5,730",$110,$0,"$5,840",98%,2%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$32,913",$70,$0,"$32,983",100%,0%,0%,,,,,,,,,
"ALBRECHT, CARL R",UT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$10,421","$1,800",$0,"$12,221",85%,15%,0%,,,,,,,,,,,,,,,,,,
"ALBRIGHT, KELLY",OK,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$6,425",$200,$0,"$6,625",97%,3%,0%,,,,,,,,,,,,,,,,,,
"ALBRIGHT, TONY",MN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$6,875",$0,$0,"$6,875",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$5,200",$0,$0,"$5,200",100%,0%,0%,,,,,,,,,
"ALBRIGHT-HANNA, KATE WELCH",MA,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$17,258","$4,731",$0,"$21,990",78%,22%,0%,,,,,,,,,,,,,,,,,,
"ALBRITTON, BEN",FL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$220,185","$28,500",$0,"$248,685",89%,11%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$45,716","$10,500",$0,"$56,216",81%,19%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$234,625","$10,400",$600,"$245,625",96%,4%,0%
"ALBRITTON, GREG",AL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$196,806","$22,718",$0,"$219,524",90%,10%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$121,180","$1,750",$0,"$122,930",99%,1%,0%,,,,,,,,,
"ALCALA, JOHN",KS,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$4,100","$3,050",$0,"$7,150",57%,43%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$1,900","$1,650",$0,"$3,550",54%,46%,0%,,,,,,,,,
"ALCANTARA, MARISOL",NY,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$3,750",$0,$500,"$4,250",88%,0%,12%,,,,,,,,,,,,,,,,,,
"ALCON, ELISEO L",NM,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$12,900","$3,900",$0,"$16,800",77%,23%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$8,977","$3,200",$300,"$12,477",72%,26%,2%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$6,974","$5,050",$0,"$12,024",58%,42%,0%
"ALCOTT, TODD R",KY,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$21,016",$0,$0,"$21,016",100%,0%,0%,,,,,,,,,,,,,,,,,,
"ALDRICH, JOSHUA C",VT,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$1,033",$0,$75,"$1,108",93%,0%,7%,,,,,,,,,,,,,,,,,,
"ALDRIDGE, LEAH",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$77,975","$19,550","$175,000","$272,525",29%,7%,64%,,,,,,,,,,,,,,,,,,
"ALEXANDER III, WILLIAM THEODORE",NC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$43,322","$1,800",$0,"$45,122",96%,4%,0%,,,,,,,,,,,,,,,,,,
"ALEXANDER JR, JOHN MCKNITT",NC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$33,780","$4,250",$0,"$38,030",89%,11%,0%,,,,,,,,,,,,,,,,,,
"ALEXANDER JR, KELLY",NC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$6,100","$1,175",$0,"$7,275",84%,16%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$7,250","$3,000","$1,000","$11,250",64%,27%,9%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$4,610",$500,$0,"$5,110",90%,10%,0%
"ALEXANDER, ED",AK,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$15,350","$2,210",$0,"$17,560",87%,13%,0%,,,,,,,,,,,,,,,,,,
"ALEXANDER, JULIE",MI,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$74,492","$2,400",$0,"$76,892",97%,3%,0%,,,,,,,,,,,,,,,,,,
