state,contributions_14_governor/lieutenant_governor_in_state,contributions_14_governor/lieutenant_governor_out_of_state,contributions_14_governor/lieutenant_governor_unknown,contributions_14_governor/lieutenant_governor_total,contributions_14_state_house/assembly/senate_in_state,contributions_14_state_house/assembly/senate_out_of_state,contributions_14_state_house/assembly/senate_unknown,contributions_14_state_house/assembly/senate_total,pct_governor/lieutenant_governor_in_state,pct_governor/lieutenant_governor_out_of_state,pct_governor/lieutenant_governor_unknown,pct_state_house/assembly/senate_in_state,pct_state_house/assembly/senate_out_of_state,pct_state_house/assembly/senate_unknown
AK,"$2,134,137","$140,361",$200,"$2,274,698","$2,857,075","$107,792",$0,"$2,964,866",94%,6%,0%,96%,4%,0%
AL,"$5,634,820","$722,814","$8,000","$6,365,634","$26,035,311","$1,507,167","$20,103","$27,562,581",89%,11%,0%,94%,5%,0%
AR,"$6,647,149","$913,024","$17,050","$7,577,223","$3,752,761","$492,279","$89,262","$4,334,302",88%,12%,0%,87%,11%,2%
CA,"$25,686,986","$3,451,797","$10,300","$29,149,083","$84,586,169","$11,070,019","$27,733","$95,683,921",88%,12%,0%,88%,12%,0%
CO,"$7,241,563","$1,405,941","$6,813","$8,654,316","$6,146,809","$434,045",$564,"$6,581,418",84%,16%,0%,93%,7%,0%
CT,"$17,261,277","$78,309",$300,"$17,339,887","$7,957,302","$112,233","$4,222","$8,073,757",100%,0%,0%,99%,1%,0%
DE,$0,$0,$0,$0,"$1,728,996","$318,522","$16,493","$2,064,011",,,,84%,15%,1%
FL,"$18,017,373","$1,297,822","$33,927","$19,349,121","$26,656,924","$2,965,774","$43,471","$29,666,169",93%,7%,0%,90%,10%,0%
GA,"$12,330,937","$2,610,338",$0,"$14,941,275","$12,659,238","$2,780,518","$1,000","$15,440,756",83%,17%,0%,82%,18%,0%
HI,"$6,355,666","$1,286,114",$0,"$7,641,779","$2,892,648","$463,035",$0,"$3,355,683",83%,17%,0%,86%,14%,0%
IA,"$6,418,916","$2,551,359",$50,"$8,970,325","$4,004,360","$590,351",$50,"$4,594,761",72%,28%,0%,87%,13%,0%
ID,"$6,266,892","$1,016,215",$420,"$7,283,527","$3,046,156","$777,454","$17,317","$3,840,926",86%,14%,0%,79%,20%,0%
IL,"$35,275,958","$8,328,084","$4,421","$43,608,462","$24,033,520","$4,303,845","$10,454","$28,347,819",81%,19%,0%,85%,15%,0%
